	strain	date	accession	authors	institution	focus_areas
142	MPXV_USA_2022_MN0003	2022-07-XX	OQ702782	Gigante et al.	CDC, DHCPP-PRB	North America
143	MPXV/Germany/2022/ON/RKI451	2022-09-XX	OP615322	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
144	MPXV-ROK-P005-2023	2023-03-13	OR459778	Chung et al.	Korea Disease Control and Prevention Agency, Division of High-risk Pathogens	Global
145	Slovenia-MPXV-41-2022	2022-08-XX	OP605582	Zakotnik et al.	Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana, Laboratory for Diagnostics of Zoonoses and WHO Centre	Global
146	Monkeypox/PT0527/2022	2022-08-19	OP555598	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
147	MPXV/Germany/2022/ON/RKI810	2022-07-XX	OQ773429	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
148	MpxV/human/USA/WA-UW-086841/2022	2022-08-XX	OP310043	Sereewit et al.	UW Virology, Laboratory Medicine	Washington
149	NY-NYCPHL-000081	2022-06-XX	OQ469130	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
150	NY-NYCPHL-0001388	2024-10-XX	PQ520546	Taki et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
151	NJ-MPXV-013-rep2	2022-08-17	OP879733	Palmateer et al.	New Jersey Department of Health, Public Health and Environmental Laboratories	North America
152	NY-NYCPHL-000404	2022-08-XX	OQ468979	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
153	NY-NYCPHL-000768	2022-07-XX	OQ468651	Amin et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
154	MPXV_USA_2022_IL0024	2022-06-XX	OP225964	Gigante et al.	CDC, DHCPP-PRB	North America
155	hMpxV/USA/CA-CDPH-1000071/2022	2022-07-06	OQ121025	Probert et al.	CDPH, VRDL	Other California
156	56_C	2022-09-06	OR264437	Taouk et al.	The Peter Doherty Institute for Infection and Immunity at the University of Melbourne, Department of Infectious Diseases	Global
157	MpxV/Spain/MD-HGUGM-6513479/2022	2022-05-27	ON720848	Buenestado-Serrano et al.	Microbial Genomics, Hospital General Universitario Gregorio Marañón, Madrid, Spain	Global
158	MPXV_USA_2022_MA0019	2022-XX-XX	OP890377	Doucette et al.	Massachusetts State Public Health Laboratory, DPH	North America
159	MPXV/Germany/2022/RKI717	2022-11-XX	OQ451902	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
160	MPXV_USA_2022_TX0025	2022-08-XX	OP687948	Gigante et al.	CDC, DHCPP-PRB	North America
161	NY-NYCPHL-000254	2022-08-XX	OQ469180	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
162	MpxV/human/USA/WA-UW-089871/2022	2022-08-XX	OP628487	Sereewit et al.	UW Virology, Laboratory Medicine	Washington
163	MPXV/UZ_REGA_72	2022-06-30	OR035678	Wawina-Bokalanga et al.	KU Leuven, Microbiology, Immunology and Transplantation	Global
164	Monkeypox/PT0244/2022	2022-06-21	OP414288	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
165	NY-NYCPHL-000048	2022-06-XX	OQ468916	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
166	Monkeypox/PT0497/2022	2022-08-16	OP555571	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
167	MPXV/Germany/2022/RKI232	2022-08-XX	OP215258	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
168	MPXV/UZ_REGA_82	2022-08-09	OR035688	Wawina-Bokalanga et al.	KU Leuven, Microbiology, Immunology and Transplantation	Global
169	Monkeypox/PT0012/2022	2022-05-23	ON649719	Isidro et al.	Institute National de Saude Doutor Ricardo Jorge (INSA), Portugal	Global
170	MPXV/Germany/2024/ON/RKI1156	2024-11-XX	PQ662915	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
171	MPX/Human/USA/CA-LACPHL-MA00254/2022	2022-10-11	OP722513	Hemarajata et al.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	Los Angeles County
172	hMpxV/USA/CA-CDPH-1M1000533/2023	2023-10-06	PQ160012	Kath et al.	CDPH, VRDL	Other California
