	strain	date	accession	authors	institution	focus_areas
5838	MPXV_USA_2024_CO0009	2024-01-XX	PQ686922	Gigante et al.	CDC, DHCPP-PRB	North America
5839	MPXV/Germany/2022/RKI021	2022-05-XX	ON694334	Brinkmann et al.	Centre for Biological Threats, Highly Pathogenic Viruses, Robert Koch Institute, Germany	Global
5840	MPXV/Germany/2022/RKI297	2022-08-XX	OP339854	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
5841	NY-NYCPHL-001208	2023-05-XX	PP533275	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
5842	MPX_KV9qz9_9000349	2022-08-XX	OP415276	Groves et al.	UKHSA, Research and Evaluation	Global
5843	MPXV/Germany/2022/ON/RKI976	2022-06-XX	OR449690	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
5844	NY-NYCPHL-000203	2022-07-XX	OQ469169	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
5845	MPXV/Germany/2022/RKI285	2022-08-XX	OP270474	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
5846	NY-NYCPHL-000276	2022-08-XX	OQ469069	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
5847	Z22IRL00281	2022-07-19	OR146325	Gonzalez et al.	University College Dublin, National Virus Reference Laboratory	Global
5848	Z22IRL00473	2022-08-16	OR146427	Gonzalez et al.	University College Dublin, National Virus Reference Laboratory	Global
5849	Monkeypox/PT0433/2022	2022-08-02	OP555518	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
5850	MPXV_431_SP_2022	2022-XX-XX	OX344874	Cuesta et al.	Institute of Health Carlos III, Bioinformatics Unit, Carretera Majadahonda-Pozuelo km2	Global
5851	NY-NYCPHL-000345	2022-08-XX	OQ504416	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
5852	MPXV/Germany/2022/ON/RKI703	2022-08-XX	OQ417837	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
5853	NY-NYCPHL-000747	2022-10-XX	OQ468783	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
5854	NY-NYCPHL-000481	2022-07-XX	OQ469191	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
5855	MPXV/human/Japan/Tokyo/2023/TKY220310	2023-01-25	LC756922	Kasuya et al.	Department of Microbiology; 3-24-1,Hyakunin-cho, Shinjuku-ku, Tokyo 169-0073	Global
5856	MD_NIDDL_54866	2022-09-01	OQ706781	Voegtly et al.	Naval Medical Research Center Biological Defense Research Directorate, Bioinformatics and Genomics Department	North America
5857	MpxV/human/USA/WA-UW-083179/2022	2022-08-XX	OP257266	Sereewit et al.	UW Virology, Laboratory Medicine	Washington
5858	VAC_INS_MPX_0965_EL	2022-10-12	OP819956	Laiton-Donato et al.	Instituto Nacional de Salud, Direccion de Investigacion en Salud Publica	Global
5859	Monkeypox/PT0460/2022	2022-08-04	OP555541	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
5860	Z22IRL00245	2022-07-12	OR146328	Gonzalez et al.	University College Dublin, National Virus Reference Laboratory	Global
5861	MPXV/Human/USA/CA-LACPHL-MA00525/2023	2023-06-14	OR499982	Garrigues et al.	Los Angeles County Public Health Laboratories	Los Angeles County
5862	Monkeypox/PT0150/2022	2022-07-06	OP324467	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
5863	hMpxV/USA/CA-CDPH-1M1000343/2023	2023-09-26	PQ336062	Kath et al.	CDPH, VRDL	Other California
5864	MPXV/Germany/2024/ON/RKI1166	2024-11-XX	PQ662925	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
5865	hMPXV/Australia/VIC-9660/2024	2024-06-20	PQ153181	Edenborough et al.	Melbourne Health, VIDRL	Global
5866	Monkeypox virus/Human/USA/CA-LACPHL-MA00234/2022	2022-07-12	OP680512	Hemarajata et al.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	Los Angeles County
5867	hMpxV/USA/CA-CDPH-1MPX1000136/2022	2022-07-15	OQ348883	Probert et al.	CDPH, VRDL	Other California
5868	hMpxV/Canada/ON-PHOL114/2022	2022-07-01	OR759202	Isabel et al.	Public Health Ontario, Microbiology and Laboratory Science	North America
5869	MpxV/human/USA/WA-UW-126801/2022	2022-12-XX	OQ503756	Sereewit et al.	UW Virology, Laboratory Medicine	Washington
5870	NY-NYCPHL-001080	2022-07-XX	OQ468574	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
5871	MPXV/Germany/2022/ON/RKI879	2022-07-XX	OQ773498	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
5872	Monkeypox/PT0502/2022	2022-08-12	OP555576	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
5873	MPXV/Germany/2022/ON/RKI788	2022-07-XX	OR463748	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
5874	NY-NYCPHL-000418	2022-09-XX	OQ468984	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
5875	MPXV/PT0657/2023	2023-07-21	OR487981	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
5876	VSP197	2022-XX-XX	PP852955	Parker et al.	University of Edinburgh, Institute of Ecology and Evolution	Global
5877	CU-ID23465	2023-12-28	PQ368493	Putcharoen et al.	King Chulalongkorn Memorial Hospital, Thai Red Cross Emerging Infectious Diseases Clinical Center	Global
5878	NY-NYCPHL-000122	2022-06-XX	OQ468942	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
5879	9000382	2022-08-XX	OP536761	Groves et al.	UKHSA, Research and Evaluation	Global
5880	MPXV22/human/USA-OK-104	2022-08-02	OP484340	Chapman et al.	University of Nebraska Medical Center, Environmental, Agricultural, and Occupational Health	North America
5881	Monkeypox/PT0218/2022	2022-06-23	OP324528	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
5882	hMPXV/Australia/VIC-9625/2024	2024-05-15	PQ153141	Edenborough et al.	Melbourne Health, VIDRL	Global
5883	NY-NYCPHL-001215	2023-07-XX	PP533293	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
5884	52_B	2022-08-02	OR264431	Taouk et al.	The Peter Doherty Institute for Infection and Immunity at the University of Melbourne, Department of Infectious Diseases	Global
5885	MPV/Human/USA/CA-LACPHL-MA00555/2023	2023-08-02	OR643711	Garrigues et al.	Los Angeles County Public Health Laboratories	Los Angeles County
5886	VAC_INS_MPX_0962_C	2022-10-13	OP819955	Laiton-Donato et al.	Instituto Nacional de Salud, Direccion de Investigacion en Salud Publica	Global
5887	Monkeypox/PT0040/2022	2022-06-02	ON843178	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
5888	Monkeypox virus/Human/USA/CA-LACPHL-MA00393/2022	2022-12-13	OQ331004	Hemarajata et al.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	Los Angeles County
5889	MPV/PT0698/2023	2023-08-07	OR804469	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
5890	RNA	2022-08-01	OX291694	?	Science Park of Comenius University of Bratislava, Ilkovicova 8, 841 04 Bratislava	Global
5891	MpxV/human/USA/WA-UW-089266/2022	2022-08-XX	OP310042	Sereewit et al.	UW Virology, Laboratory Medicine	Washington
5892	MPXV/Germany/2022/ON/RKI895	2022-07-XX	OQ773514	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
5893	Monkeypox/PT0473/2022	2022-08-05	OP555552	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
5894	MpxV/human/CAN/UN-NML-4114/2022	2022-06-27	OP279038	Duggan et al.	National Microbiology Laboratory, Public Health Agency of Canada	North America
5895	Monkeypox/PT0037/2022	2022-05-18	ON843164	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
5896	Monkeypox virus/Human/USA/CA-LACPHL-MA00702/2024	2024-09-30	PQ479560	Fox et al.	Los Angeles County Department of Public Health, Los Angeles County Public Health Laboratories	Los Angeles County
5897	NY-NYCPHL-000119	2022-06-XX	OQ469138	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
5898	MPXV/Germany/2022/RKI499	2022-09-XX	OP626138	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
5899	MP01CHUAC	2022-05-XX	OP120937	Aja-Macaya et al.	Biomedical research institute (INIBIC), Microbiology	Global
5900	Monkeypox/PT0424/2022	2022-08-01	OP555512	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
5901	MPXV-ROK-P020-2023	2023-04-19	OR459793	Chung et al.	Korea Disease Control and Prevention Agency, Division of High-risk Pathogens	Global
5902	hMPXV/Australia/VIC-3575/2024	2024-07-04	PQ153194	Edenborough et al.	Melbourne Health, VIDRL	Global
5903	MPXV/Germany/2022/RKI559	2022-06-XX	OP764617	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
5904	MPXV/Germany/2022/RKI033	2022-06-XX	ON755239	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
5905	MPXV_USA_2022_TX0229	2022-10-XX	PQ340493	Gigante et al.	CDC, DHCPP-PRB	North America
5906	Monkeypox virus/Human/USA/CA-LACPHL-MA00672/2024	2024-08-24	PQ358795	Heibeck et al.	Los Angeles County Department of Public Health, Los Angeles County Department of Public Health Laboratory	Los Angeles County
5907	MPXV/Human/USA/CA-LACPHL-MA00357/2022	2022-11-08	OP920695	Hemarajata et al.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	Los Angeles County
5908	Z22IRL00477	2022-08-16	OR146382	Gonzalez et al.	University College Dublin, National Virus Reference Laboratory	Global
5909	MPXV_USA_2022_MA0207	2022-XX-XX	OQ730230	Doucette et al.	Massachusetts State Public Health Laboratory, DPH	North America
5910	MPXV/Human/USA/CA-LACPHL-MA00428/2022	2022-10-28	OQ503802	Hemarajata et al.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	Los Angeles County
5911	Monkeypox/PT0829/2024	2024-08-08	PQ240045	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
5912	MPXV/Germany/2022/ON/RKI603	2022-08-XX	OP863253	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
5913	MPXV/UZ_REGA_195/Belgium/2022	2022-08-03	OR087004	Vanmechelen et al.	KU Leuven, Microbiology, Immunology and Transplantation	Global
5914	MPXV/UZ_REGA_210/Belgium/2022	2022-08-08	OR095028	Wawina-Bokalanga et al.	KU Leuven, Microbiology, Immunology and Transplantation	Global
5915	MPXV/Germany/2022/RKI533	2022-07-XX	OP689685	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
5916	MPXV/Germany/2022/RKI567	2022-06-XX	OP764625	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
5917	MPXV_USA_2022_TN0004	2022-07-XX	OP450988	Gigante et al.	CDC, DHCPP-PRB	North America
5918	NY-NYCPHL-000968	2022-07-XX	OQ565535	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
5919	MPXV/Germany/2022/RKI274	2022-08-XX	OP263628	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
5920	MPXV/UZ_REGA_31	2022-07-19	OR030942	Wawina-Bokalanga et al.	KU Leuven, Microbiology, Immunology and Transplantation	Global
5921	hMpxV/USA/IL-RIPHL-050-0199/2024	2024-07-11	PQ374437	Green et al.	Rush University Medical Center, Regional Innovative Public Health Laboratory (RIPHL)	Cook County
5922	hMpxV/Canada/ON-PHOL052/2022	2022-08-01	OR759148	Isabel et al.	Public Health Ontario, Microbiology and Laboratory Science	North America
5923	MpxV/human/USA/WA-UW-078603/2022	2022-07-XX	OP184761	Sereewit et al.	UW Virology, Laboratory Medicine	Washington
5924	MPXV/Germany/2024/ON/RKI1145	2024-10-XX	PQ662904	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
5925	Monkeypox/PT0001/2022	2022-05-04	ON585029	Borges et al.	Institute National de Saude Doutor Ricardo Jorge (INSA), Portugal	Global
5926	MPXV_USA_2022_TX0190	2022-10-XX	PQ340489	Gigante et al.	CDC, DHCPP-PRB	North America
5927	MPXV_USA_2022_DC0005	2022-06-XX	OP225968	Gigante et al.	CDC, DHCPP-PRB	North America
5928	MPXV/Germany/2022/RKI540	2022-06-XX	OP715820	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
5929	NY-NYCPHL-000742	2022-10-XX	OQ468779	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
5930	MPXV-ROK-P030-2023	2023-04-23	OR459801	Chung et al.	Korea Disease Control and Prevention Agency, Division of High-risk Pathogens	Global
5931	MpxV/human/USA/WA-UW-091191/2022	2022-09-XX	OQ503768	Sereewit et al.	UW Virology, Laboratory Medicine	Washington
5932	22_A	2022-08-10	OR264375	Taouk et al.	The Peter Doherty Institute for Infection and Immunity at the University of Melbourne, Department of Infectious Diseases	Global
5933	MPXV-ROK-P53/24-2023	2023-08-28	OR855767	Chung et al.	Korea Disease Control and Prevention Agency, Division of High-risk Pathogens	Global
5934	Monkeypox/PT0174/2022	2022-06-30	OP324489	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
5935	MPXV/UZ_REGA_188/Belgium/2022	2022-08-03	OR086997	Wawina-Bokalanga et al.	KU Leuven, Microbiology, Immunology and Transplantation	Global
5936	hMpxV/USA/CA-CDPH-1MPX1000141/2022	2022-06-21	OQ348888	Probert et al.	CDPH, VRDL	Other California
5937	MPXV/UZ_REGA_110	2022-10-28	OR035716	Wawina-Bokalanga et al.	KU Leuven, Microbiology, Immunology and Transplantation	Global
5938	hMpxV/Canada/ON-PHOL057/2022	2022-08-01	OR759147	Isabel et al.	Public Health Ontario, Microbiology and Laboratory Science	North America
5939	MPXV_USA_2022_MA0081	2022-XX-XX	OP890436	Doucette et al.	Massachusetts State Public Health Laboratory, DPH	North America
5940	hMpxV/USA/CA-CDPH-1M1000332/2023	2023-08-22	PQ336053	Kath et al.	CDPH, VRDL	Other California
5941	JS-NTCDC-230005	2024-01-07	PQ672984	Ji et al.	Nantong Center for Disease Control and Prevention, Key Laboratory of Medicine	Global
5942	ZIRL00094	2022-06-13	OR146434	Gonzalez et al.	University College Dublin, National Virus Reference Laboratory	Global
5943	NY-NYCPHL-001039	2022-06-XX	OQ469233	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
5944	Monkeypox/PT0501/2022	2022-08-16	OP555575	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
5945	hMpxV/USA/IL-RIPHL-050-0201/2024	2024-08-23	PQ463261	Green et al.	Rush University Medical Center, Regional Innovative Public Health Laboratory (RIPHL)	Cook County
5946	MPXV/PT0740/2023	2023-09-22	PP024992	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
5947	MPXV/Germany/2024/ON/RKI1139	2024-10-XX	PQ499041	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
5948	MPXV/Germany/2022/RKI026	2022-06-XX	ON755232	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
5949	Monkeypox/PT0039/2022	2022-06-02	ON843179	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
5950	MPXV_USA_2022_MA0157	2022-XX-XX	OP890506	Doucette et al.	Massachusetts State Public Health Laboratory, DPH	North America
5951	MpxV/human/USA/WA-UW-071246/2022	2022-07-XX	OP123044	Sereewit et al.	UW Virology, Laboratory Medicine	Washington
5952	NY-NYCPHL-000974	2022-07-XX	OQ419077	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
5953	MPXV/Germany/2022/RKI247	2022-08-XX	OP215267	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
5954	NY-NYCPHL-001036	2022-06-XX	OQ419079	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
5955	NY-NYCPHL-000652	2022-07-XX	OQ468733	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
5956	NY-NYCPHL-001242	2023-11-XX	PP533336	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
5957	NY-NYCPHL-0001384	2024-09-XX	PQ520544	Taki et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
5958	ANT-LDSP-ANT-MPX-24592-C	2022-09-07	OP642376	Betancur et al.	Laboratorio Departamental de Salud Publica de Antioquia, Antioquia	Global
5959	NY-NYCPHL-000631	2022-10-XX	OQ468616	Amin et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
5960	RNA	2022-08-31	OX336038	?	Science Park of Comenius University of Bratislava, Ilkovicova 8, 841 04 Bratislava	Global
5961	NY-NYCPHL-000961	2022-07-XX	OQ468701	Amin et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
5962	MPXV_USA_2022_NM0003	2022-09-XX	OQ721929	Gigante et al.	CDC, DHCPP-PRB	North America
5963	NY-NYCPHL-000910	2022-07-XX	OQ565503	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
5964	MPXV/UZ_REGA_139/Belgium/2022	2022-07-05	OR086948	Vanmechelen et al.	KU Leuven, Microbiology, Immunology and Transplantation	Global
5965	NY-NYCPHL-001294	2024-03-XX	PP533354	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
5966	MPXV/Germany/2022/ON/RKI821	2022-07-XX	OQ773440	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
5967	MpxV/human/USA/WA-UW-081251/2023	2023-08-XX	OR455100	Sereewit et al.	UW Virology, Laboratory Medicine	Washington
5968	BOL-UNIMOL-MPX-293420-L	2022-10-27	OP959059	Loyola et al.	Universidad de Cartagena, Laboratorio de Investigacion Molecular (UNIMOL)	Global
5969	NY-NYCPHL-000393	2022-08-XX	OQ504426	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
5970	MPXV/Germany/2024/ON/RKI1146	2024-10-XX	PQ662905	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
5971	NY-NYCPHL-000141	2022-06-XX	OQ469148	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
5972	MPXV_USA_2022_MA0106	2022-XX-XX	OP890461	Doucette et al.	Massachusetts State Public Health Laboratory, DPH	North America
5973	MPXV/Germany/2022/RKI575	2022-06-XX	OP837337	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
5974	hMpxV/USA/CA-CDPH-1M1000540/2023	2023-11-01	PQ160019	Kath et al.	CDPH, VRDL	Other California
5975	MPXV/UZ_REGA_76	2022-06-07	OR035682	Wawina-Bokalanga et al.	KU Leuven, Microbiology, Immunology and Transplantation	Global
5976	MPXV/Germany/2025/ON/RKI1233	2025-01-XX	PV173498	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
5977	MpxV/human/USA/WA-UW-101262/2023	2023-10-XX	OR966869	Sereewit et al.	University of Washington Dept. Laboratory Medicine and Pathology, Virology Division	North America
5978	hMPXV/Australia/VIC-9070/2024	2024-07-25	PQ153220	Edenborough et al.	Melbourne Health, VIDRL	Global
5979	MPXV-ROK-P034-2023	2023-04-25	OR459804	Chung et al.	Korea Disease Control and Prevention Agency, Division of High-risk Pathogens	Global
5980	NY-NYCPHL-001251	2023-12-XX	PP533334	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
5981	ANT-LDSP-ANT-MPX-25271C	2022-09-13	OP642405	Betancur et al.	Laboratorio Departamental de Salud Publica de Antioquia, Antioquia	Global
5982	MPXV/Germany/2022/RKI489	2022-07-XX	OP626127	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
5983	mbop_jos	2022-06-07	PQ368495	Amaku et al.	Plateau state University Bokkos, Microbiology	Global
5984	NY-NYCPHL-000158	2022-06-XX	OQ419004	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
5985	NY-NYCPHL-0001380	2024-08-XX	PQ520558	Taki et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
5986	MPXV/Germany/2022/RKI226	2022-08-XX	OP215254	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
5987	MPXV_USA_2022_CA0029	2022-09-XX	OQ054244	Gigante et al.	CDC, DHCPP-PRB	North America
5988	hMpxV/USA/CACDPH1MPX1000166/2022	2022-06-27	OQ547891	Probert et al.	CDPH, VRDL	Other California
5989	NY-NYCPHL-0001389	2024-10-XX	PQ520547	Taki et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
5990	MPXV/Germany/2022/RKI134	2022-07-XX	ON929089	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
5991	NJ-MPXV-024	2022-07-08	OP879742	Palmateer et al.	New Jersey Department of Health, Public Health and Environmental Laboratories	North America
5992	hMPXV/Australia/VIC-5843/2024	2024-07-13	PQ153205	Edenborough et al.	Melbourne Health, VIDRL	Global
5993	NY-NYCPHL-000516	2022-07-XX	OQ419024	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
5994	MPX/Human/USA/CA-LACPHL-MA00147/2022	2022-09-13	OP539932	Hemarajata et al.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	Los Angeles County
5995	MPXV/Germany/2022/RKI384	2022-09-XX	OP523986	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
5996	MPXV/Germany/2022/RKI469	2022-07-XX	OP626107	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
5997	MpxV/human/USA/WA-UW-081935/2022	2022-08-XX	OP310052	Sereewit et al.	UW Virology, Laboratory Medicine	Washington
5998	NY-NYCPHL-001129	2022-07-XX	OQ469293	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
5999	MPX_96X1Vd_9000218	2022-03-XX	OP415196	Groves et al.	UKHSA, Research and Evaluation	Global
6000	MPXV_USA_2022_NC0003	2022-12-XX	OR209323	Li et al.	CDC, DHCPP-PRB	North America
6001	MPXV_USA_2023_MN0017	2023-12-XX	PQ686927	Gigante et al.	CDC, DHCPP-PRB	North America
6002	hMpxV/USA/CACDPH1MPX1000160/2022	2022-06-24	OQ547887	Probert et al.	CDPH, VRDL	Other California
6003	MPXV_USA_2022_MA0029	2022-XX-XX	OP890387	Doucette et al.	Massachusetts State Public Health Laboratory, DPH	North America
6004	MPXV/Human/USA/CA-LACPHL-MA00340/2022	2022-10-23	OP920678	Hemarajata et al.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	Los Angeles County
6005	NY-NYCPHL-000878	2022-07-XX	OQ565491	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
6006	MPXV_USA_2022_IL0040	2022-06-XX	OP303786	Gigante et al.	CDC, DHCPP-PRB	North America
6007	MPXV-ROK-P004-2022	2022-11-22	OR459777	Chung et al.	Korea Disease Control and Prevention Agency, Division of High-risk Pathogens	Global
6008	MPXV_USA_2022_MI0009	2022-09-XX	OQ721923	Gigante et al.	CDC, DHCPP-PRB	North America
6009	hMPX/Human/USA/CA-LACPHL-MA00078/2022	2022-08-05	OP442539	Hemarajata et al.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	Los Angeles County
6010	NY-NYCPHL-001225	2023-10-XX	PP533331	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
6011	MPXV_UK_2022_9000071	2022-06-09	OP205077	Groves et al.	UKHSA, Research and Evaluation	Global
6012	LIM-INS-015	2022-07-09	OP320550	Padilla et al.	Instituto Nacional de Salud Peru, Laboratorio de Biotecnologia y Biologia Molecular	Global
6013	Monkeypox/PT0023/2022	2022-05-19	ON649708	Isidro et al.	Institute National de Saude Doutor Ricardo Jorge (INSA), Portugal	Global
6014	MPX/PT0057/2022	2022-07-28	OP245313	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
6015	hMPX/USA/CA-LACPHL-MA00163/2022	2022-09-22	OP580596	Hemarajata et al.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	Los Angeles County
6016	MPXV/Germany/2022/RKI501	2022-09-XX	OP626139	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
6017	Monkeypox/PT0006/2022	2022-05-15	ON585033	Borges et al.	Institute National de Saude Doutor Ricardo Jorge (INSA), Portugal	Global
6018	Z22IRL00243	2022-07-07	OR146345	Gonzalez et al.	University College Dublin, National Virus Reference Laboratory	Global
6019	Monkeypox/PT0233/2022	2022-06-21	OP324541	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
6020	MPXV_USA_2022_GA0017	2022-07-XX	OP603015	Gigante et al.	CDC, DHCPP-PRB	North America
6021	hMpxV/USA/CA-CDPH-1MPX1000207/2023	2022-07-02	OQ603476	Haw et al.	CDPH, VRDL	Other California
6022	hMpxV/USA/IL-RIPHL-050-0101/2023	2023-08-23	OR725694	Green et al.	Rush University Medical Center, Regional Innovative Public Health Laboratory (RIPHL)	Cook County
6023	MpxV/human/CAN/UN-NML-3193/2022	2022-05-31	ON880510	Duggan et al.	National Microbiology Laboratory, Public Health Agency of Canada	North America
6024	MpxV/human/CAN/UN-NML-4144/2022	2022-07-04	OP279045	Duggan et al.	National Microbiology Laboratory, Public Health Agency of Canada	North America
6025	hMPX/Human/USA/CA-LACPHL-MA00081/2022	2022-07-13	OP442549	Hemarajata et al.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	Los Angeles County
6026	MPXV/ITM_pt_25/Belgium/16-Jun-2022	2022-06-16	OP144214	De Baetselier et al.	Institute of Tropica Medicine, Department of Clinical Sciences	Global
6027	MPXV_USA_2022_NY0015	2022-06-XX	OP303796	Gigante et al.	CDC, DHCPP-PRB	New York City
